127.0.0.1 - - [18/Sep/2023:15:32:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:19 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:19 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:20 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:20 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:20 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:20 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:20 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:21 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:21 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:21 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:25 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [18/Sep/2023:17:34:25 +0900] "GET /webTest1/NewFile.html HTTP/1.1" 304 -
